CLUSTER APOGEE_ID RA DEC NO_SIGMAS_RV NO_SIGMAS_PM DIST_CENTER
"NGC 7789" 2M00000068+5710233 0.00285 57.173164 37.79134489748559 24.491448106385214 33.9987398896598
"NGC 7790" 2M00001199+6114138 0.049987 61.237167 12.249188579844226 3.932283589663562 13.368604376385742
"NGC 7789" 2M00001328+5725563 0.05535 57.432327 8.705891804232602 5.0974915855473215 47.917999458343175
"NGC 7789" 2M00002012+5612368 0.083874 56.210224 33.14375418569839 2.5810068568559164 39.47392499997232
"NGC 7790" 2M00002853+6119307 0.118884 61.325195 5.355794268399242 1.3390654086139415 16.944003728562212
"NGC 7789" 2M00003003+5646151 0.125145 56.770882 25.56707420749784 4.545424935932685 25.46773691282253
"NGC 7789" 2M00003071+5606028 0.127964 56.100788 inf 4.138109215507347 45.67039964323448
"NGC 7789" 2M00003475+5723259 0.144798 57.39053 33.992818676404504 6.076993306267973 47.26224089376831
"NGC 188" 2M00004849+8521299 0.20205 85.358322 inf 5.210066475579702 57.43840397250713
"NGC 7789" 2M00004872+5647031 0.203037 56.784206 16.15240830856653 1.3624393163358572 28.09522119097215
"NGC 7789" 2M00005143+5615568 0.214312 56.265797 5.041128216734257 6.93390734898447 39.84570604847449
"NGC 7789" 2M00005641+5650080 0.235059 56.835556 32.58791360455275 7.735950886968685 29.622539365642883
"NGC 7789" 2M00005841+5712287 0.243399 57.207981 35.41720265719718 4.964138207673579 40.82111607356496
"NGC 7789" 2M00005977+5717509 0.249078 57.297482 26.373902219393266 4.8980814556811545 44.85253587319519
"NGC 188" 2M00010230+8543437 0.259594 85.728813 inf 12.544051692157531 61.47850267539721
"NGC 7789" 2M00010831+5711546 0.284647 57.198502 16.541173413458687 "" 41.40744733024855
"NGC 7789" 2M00012151+5634379 0.339666 56.577217 36.881065079824054 inf 33.765862896166425
"NGC 7789" 2M00012635+5619207 0.359832 56.32243 30.08491562425236 1.43628982302019 41.301555359583745
"NGC 7789" 2M00012711+5640299 0.362977 56.674992 25.701165919436367 5.280216945226245 33.38314603759872
"NGC 188" 2M00012723+8520108 0.363479 85.336342 inf inf 56.657964564550845
"NGC 7789" 2M00012833+5644528 0.368083 56.748001 20.111466369640617 5.066553544622283 33.37010266331936
"NGC 7789" 2M00020348+5651433 0.514518 56.862053 inf 15.612054898313362 38.924435779689404
"NGC 7789" 2M00020908+5643507 0.537847 56.730766 3.3808065642598435 2.827390146907216 38.948488381054354
"NGC 7789" 2M00021424+5709578 0.55934 57.166058 8.010282788265728 24.010194113592615 47.30514532120152
"NGC 7789" 2M00021586+5619187 0.56612 56.32188 23.51697704696081 16.703362277879183 46.992154810960926
"NGC 7789" 2M00022797+5655571 0.616567 56.932552 25.76853656397716 12.114063135259403 43.16759294488441
"NGC 7789" 2M00024516+5635133 0.688167 56.587036 34.07625288720293 12.143548212065202 44.81252543964169
"NGC 7789" 2M00024718+5703158 0.696603 57.054394 inf 5.564915334401206 48.08852935875913
"NGC 7789" 2M00025700+5627131 0.737514 56.453644 21.196617197370564 2.3462203106320976 48.61052473247475
"NGC 7789" 2M00025811+5700252 0.742136 57.007027 5.296578316558802 2.8865530513003583 48.43749093581283
"NGC 7789" 2M00030238+5647188 0.759946 56.788574 26.788841938848037 8.1196023331695 46.35469110886578
"NGC 7789" 2M00032452+5640531 0.852195 56.681442 27.362558135926044 5.793121225727132 49.41416247186608
"NGC 188" 2M00042569+8552106 1.107076 85.869621 inf 37.95492795322636 61.88662654955059
"NGC 188" 2M00043337+8553355 1.139052 85.893219 inf 5.22242824108718 62.51193702206908
"NGC 188" 2M00053265+8546227 1.386057 85.772987 inf inf 58.00404042437144
"NGC 188" 2M00053858+8527582 1.41076 85.466187 inf inf 52.161687104224576
"NGC 188" 2M00063384+8527274 1.641035 85.457634 inf "" 51.003348389889766
"NGC 188" 2M00072939+8519090 1.872482 85.319176 33.43452483547488 15.809499608514095 49.2951737953214
"NGC 188" 2M00075815+8454309 1.992322 84.9086 28.861322895995386 15.826188522537151 54.736583513475274
"NGC 188" 2M00083023+8522412 2.125975 85.37812 inf 29.864198552421676 48.167267326103605
"NGC 188" 2M00084301+8457541 2.179239 84.96505 20.504136686987387 10.172412560216726 52.377608473432076
"NGC 188" 2M00085821+8452474 2.242544 84.879852 inf 9.268249068928373 54.37220921870778
"NGC 188" 2M00090109+8517309 2.254565 85.291931 inf 25.629894780260667 47.456746813838706
"NGC 188" 2M00091320+8547594 2.305017 85.799835 inf 25.939591035861962 55.252063839272424
"NGC 188" 2M00100148+8434189 2.506169 84.571938 inf inf 64.3134039141336
"NGC 188" 2M00100473+8601230 2.519743 86.023056 inf inf 62.60288083228849
"NGC 188" 2M00104125+8437464 2.671892 84.629562 inf 8.807337906927541 61.265961904687224
"NGC 188" 2M00105224+8456112 2.717708 84.936447 19.22160999808758 19.94019323965775 50.54563790948977
"NGC 188" 2M00132343+8503087 3.347652 85.052429 inf 9.393961986398613 44.75354067009102
"NGC 188" 2M00133178+8547538 3.382425 85.798294 inf 13.436398304967973 51.240435615268765
"NGC 188" 2M00150031+8613058 3.751315 86.218285 inf 10.083172152836996 68.02718402383795
"NGC 188" 2M00150693+8437068 3.778898 84.618576 inf 11.699248131970903 57.24201569756523
"NGC 188" 2M00155860+8442345 3.994192 84.70961 inf 10.063941489414686 52.58068735714519
"NGC 188" 2M00160587+8437462 4.024476 84.629509 inf inf 55.81012534101214
"NGC 188" 2M00161612+8534306 4.067199 85.575172 inf 11.499135687883623 41.95203123140603
"NGC 188" 2M00162957+8558274 4.123214 85.974289 inf 20.074613372181727 55.767508122578725
"NGC 188" 2M00164764+8435080 4.198511 84.585564 inf inf 57.07947776092664
"NGC 188" 2M00184112+8606564 4.671338 86.115669 inf inf 60.87632746443498
"NGC 188" 2M00192747+8522505 4.864489 85.380707 inf 22.489883042694668 35.03023295936963
"NGC 188" 2M00201173+8550090 5.048876 85.835846 inf 9.294417614838647 47.06066937449756
"NGC 188" 2M00201297+8516300 5.054046 85.275009 inf "" 33.6816622461283
"NGC 188" 2M00211799+8421371 5.324964 84.360306 inf 8.743734286026887 64.25206075573483
"NGC 188" 2M00212644+8608272 5.360201 86.1409 inf 11.669850979249635 60.575833509346204
"NGC 188" 2M00213033+8549023 5.3764 85.817314 inf 6.888073374646637 45.26149971337071
"NGC 188" 2M00220828+8527196 5.534525 85.45546 inf inf 32.95484625095993
"NGC 188" 2M00222966+8431230 5.623617 84.523056 inf 17.438935634455007 55.05688642417668
